1st_RawFile Upd_2024-12-02_raw
 
ForceDisplay	Rep	Set	timer	X	Y	Z	A	M
Low Viscosity	0	1	00:00:003	00.0604	03.2082	66.0000	088.922	003.209
Low Viscosity	0	1	00:00:010	00.0604	03.2082	66.0000	088.922	003.209
Low Viscosity	0	1	00:00:014	00.0604	03.2082	66.0000	088.922	003.209
Low Viscosity	0	1	00:00:020	00.0604	03.2082	66.0000	088.922	003.209
Low Viscosity	0	1	00:00:025	00.0604	03.2082	66.0000	088.922	003.209
Low Viscosity	0	1	00:00:029	00.0604	03.2082	66.0000	088.922	003.209
Low Viscosity	0	1	00:00:032	00.0604	03.2082	66.0000	088.922	003.209
Low Viscosity	0	1	00:00:036	00.0604	03.2082	66.0000	088.922	003.209
Low Viscosity	0	1	00:00:043	00.0613	03.2119	66.0000	088.906	003.213
Low Viscosity	0	1	00:00:062	00.0613	03.2119	66.0000	088.906	003.213
Low Viscosity	0	1	00:00:069	00.0420	03.2119	66.0000	089.252	003.212
Low Viscosity	0	1	00:00:072	00.0420	03.2119	66.0000	089.252	003.212
Low Viscosity	0	1	00:00:075	00.0420	03.2119	66.0000	089.252	003.212
Low Viscosity	0	1	00:00:080	00.0420	03.2119	66.0000	089.251	003.212
Low Viscosity	0	1	00:00:083	00.0420	03.2119	66.0000	089.251	003.212
Low Viscosity	0	1	00:00:087	00.0420	03.2119	66.0000	089.251	003.212
Low Viscosity	0	1	00:00:090	00.0420	03.2119	66.0000	089.251	003.212
Low Viscosity	0	1	00:00:092	00.0420	03.2119	66.0000	089.251	003.212
Low Viscosity	0	1	00:00:095	00.0420	03.2119	66.0000	089.251	003.212
Low Viscosity	0	1	00:00:100	00.0420	03.2119	66.0000	089.251	003.212
Low Viscosity	0	1	00:00:103	00.0420	03.2119	66.0000	089.251	003.212
Low Viscosity	0	1	00:00:115	00.0420	03.2119	66.0000	089.251	003.212
Low Viscosity	0	1	00:00:122	00.0226	03.2119	66.0000	089.597	003.212
Low Viscosity	0	1	00:00:127	00.0226	03.2119	66.0000	089.597	003.212
Low Viscosity	0	1	00:00:131	00.0226	03.2119	66.0000	089.597	003.212
Low Viscosity	0	1	00:00:137	00.0226	03.2119	66.0000	089.597	003.212
Low Viscosity	0	1	00:00:143	00.0226	03.2119	66.0000	089.597	003.212
Low Viscosity	0	1	00:00:149	00.0226	03.2119	66.0000	089.597	003.212
Low Viscosity	0	1	00:00:154	00.0226	03.2119	66.0000	089.597	003.212
Low Viscosity	0	1	00:00:159	00.0226	03.2119	66.0000	089.597	003.212
Low Viscosity	0	1	00:00:163	00.0226	03.2119	66.0000	089.597	003.212
Low Viscosity	0	1	00:00:167	00.0226	03.2119	66.0000	089.597	003.212
Low Viscosity	0	1	00:00:170	00.0226	03.2119	66.0000	089.597	003.212
Low Viscosity	0	1	00:00:174	00.0226	03.2119	66.0000	089.597	003.212
Low Viscosity	0	1	00:00:178	00.0032	03.2119	66.0000	089.943	003.212
Low Viscosity	0	1	00:00:181	00.0032	03.2119	66.0000	089.943	003.212
Low Viscosity	0	1	00:00:186	00.0032	03.2119	66.0000	089.943	003.212
Low Viscosity	0	1	00:00:189	00.0032	03.2119	66.0000	089.943	003.212
Low Viscosity	0	1	00:00:193	00.0032	03.2119	66.0000	089.943	003.212
Low Viscosity	0	1	00:00:196	00.0032	03.2119	66.0000	089.943	003.212
Low Viscosity	0	1	00:00:206	00.0032	03.2119	66.0000	089.943	003.212
Low Viscosity	0	1	00:00:216	00.0032	03.2119	66.0000	089.943	003.212
Low Viscosity	0	1	00:00:227	-00.0152	03.2157	66.0000	090.270	003.216
Low Viscosity	0	1	00:00:241	-00.0152	03.2157	66.0000	090.270	003.216
Low Viscosity	0	1	00:00:248	-00.0345	03.2157	66.0000	090.615	003.216
Low Viscosity	0	1	00:00:254	-00.0345	03.2157	66.0000	090.615	003.216
Low Viscosity	0	1	00:00:261	-00.0539	03.2157	66.0000	090.960	003.216
Low Viscosity	0	1	00:00:267	-00.0539	03.2157	66.0000	090.960	003.216
Low Viscosity	0	1	00:00:273	-00.0539	03.2157	66.0000	090.960	003.216
Low Viscosity	0	1	00:00:279	-00.0539	03.2157	66.0000	090.960	003.216
Low Viscosity	0	1	00:00:285	-00.0926	03.2157	66.0000	091.649	003.217
Low Viscosity	0	1	00:00:290	-00.0926	03.2157	66.0000	091.649	003.217
Low Viscosity	0	1	00:00:295	-00.0926	03.2157	66.0000	091.649	003.217
Low Viscosity	0	1	00:00:301	-00.1120	03.2157	66.0000	091.994	003.218
Low Viscosity	0	1	00:00:306	-00.1120	03.2157	66.0000	091.994	003.218
Low Viscosity	0	1	00:00:311	-00.1120	03.2157	66.0000	091.994	003.218
Low Viscosity	0	1	00:00:316	-00.1120	03.2157	66.0000	091.994	003.218
Low Viscosity	0	1	00:00:322	-00.1507	03.2157	66.0000	092.683	003.219
Low Viscosity	0	1	00:00:327	-00.1507	03.2157	66.0000	092.683	003.219
Low Viscosity	0	1	00:00:332	-00.1507	03.2157	66.0000	092.683	003.219
Low Viscosity	0	1	00:00:337	-00.1507	03.2157	66.0000	092.683	003.219
Low Viscosity	0	1	00:00:343	-00.1701	03.2157	66.0000	093.027	003.220
Low Viscosity	0	1	00:00:348	-00.1701	03.2157	66.0000	093.027	003.220
Low Viscosity	0	1	00:00:355	-00.1701	03.2157	66.0000	093.027	003.220
Low Viscosity	0	1	00:00:365	-00.1894	03.2157	66.0000	093.371	003.221
Low Viscosity	0	1	00:00:370	-00.1894	03.2157	66.0000	093.371	003.221
