1st_f f_2024-12-02_raw
 
ForceDisplay	Rep	Set	timer	X	Y	Z	A	M
Low Viscosity	1	1	00:00:004	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:011	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:016	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:020	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:023	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:027	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:032	02.0000	06.3153	66.0000	072.427	006.624
Low Viscosity	1	1	00:00:036	02.0000	06.3153	66.0000	072.427	006.624
Low Viscosity	1	1	00:00:041	02.0000	06.3153	66.0000	072.427	006.624
Low Viscosity	1	1	00:00:045	02.0000	06.3153	66.0000	072.427	006.624
Low Viscosity	1	1	00:00:050	02.0000	06.3153	66.0000	072.427	006.624
Low Viscosity	1	1	00:00:055	02.0000	06.5153	66.0000	072.935	006.815
Low Viscosity	1	1	00:00:059	02.0000	06.5153	66.0000	072.935	006.815
Low Viscosity	1	1	00:00:063	02.0000	06.5153	66.0000	072.935	006.815
Low Viscosity	1	1	00:00:067	02.0000	06.5153	66.0000	072.935	006.815
Low Viscosity	1	1	00:00:072	02.0000	06.7153	66.0000	073.415	007.007
Low Viscosity	1	1	00:00:076	02.0000	06.7153	66.0000	073.415	007.007
Low Viscosity	1	1	00:00:080	02.0000	06.7153	66.0000	073.415	007.007
Low Viscosity	1	1	00:00:084	02.0000	06.7153	66.0000	073.415	007.007
Low Viscosity	1	1	00:00:087	02.0000	06.7153	66.0000	073.415	007.007
Low Viscosity	1	1	00:00:092	02.0000	06.9153	66.0000	073.869	007.199
Low Viscosity	1	1	00:00:095	02.0000	06.9153	66.0000	073.869	007.199
Low Viscosity	1	1	00:00:099	02.0000	06.9153	66.0000	073.869	007.199
Low Viscosity	1	1	00:00:103	02.0000	06.9153	66.0000	073.869	007.199
Low Viscosity	1	1	00:00:107	02.0000	06.9153	66.0000	073.869	007.199
Low Viscosity	1	1	00:00:111	02.0000	07.1153	66.0000	074.300	007.391
Low Viscosity	1	1	00:00:115	02.0000	07.1153	66.0000	074.300	007.391
Low Viscosity	1	1	00:00:119	02.0000	07.1153	66.0000	074.300	007.391
Low Viscosity	1	1	00:00:144	02.0000	07.1153	66.0000	074.300	007.391
Low Viscosity	1	1	00:00:150	02.0000	07.3153	66.0000	074.709	007.584
Low Viscosity	1	1	00:00:157	02.0000	07.5153	66.0000	075.098	007.777
Low Viscosity	1	1	00:00:164	02.0000	07.5153	66.0000	075.098	007.777
Low Viscosity	1	1	00:00:175	02.0000	07.5153	66.0000	075.098	007.777
Low Viscosity	1	1	00:00:186	02.0000	07.7153	66.0000	075.467	007.970
Low Viscosity	1	1	00:00:195	02.0000	07.9153	66.0000	075.820	008.164
