1st_f g_2024-12-02_raw
 
ForceDisplay	Rep	Set	timer	X	Y	Z	A	M
Low Viscosity	1	1	00:00:004	03.8399	03.2463	66.0000	040.211	005.028
Low Viscosity	1	1	00:00:011	03.8399	03.2463	66.0000	040.211	005.028
Low Viscosity	1	1	00:00:015	03.8399	03.2463	66.0000	040.211	005.028
Low Viscosity	1	1	00:00:019	03.8401	03.2234	66.0000	040.010	005.014
Low Viscosity	1	1	00:00:023	03.8401	03.2234	66.0000	040.010	005.014
Low Viscosity	1	1	00:00:027	03.8401	03.2234	66.0000	040.010	005.014
Low Viscosity	1	1	00:00:031	03.8401	03.2234	66.0000	040.010	005.014
Low Viscosity	1	1	00:00:035	03.8401	03.2234	66.0000	040.010	005.014
Low Viscosity	1	1	00:00:041	03.8402	03.0234	66.0000	038.213	004.887
Low Viscosity	1	1	00:00:044	03.8402	03.0234	66.0000	038.213	004.887
Low Viscosity	1	1	00:00:048	03.8402	03.0234	66.0000	038.213	004.887
Low Viscosity	1	1	00:00:052	03.8402	03.0234	66.0000	038.213	004.887
Low Viscosity	1	1	00:00:056	03.8318	02.8234	66.0000	036.384	004.760
Low Viscosity	1	1	00:00:061	03.8318	02.8234	66.0000	036.384	004.760
Low Viscosity	1	1	00:00:065	03.8318	02.8234	66.0000	036.384	004.760
Low Viscosity	1	1	00:00:068	03.8318	02.8234	66.0000	036.384	004.760
Low Viscosity	1	1	00:00:093	03.8318	02.8234	66.0000	036.384	004.760
Low Viscosity	1	1	00:00:103	03.8235	02.4234	66.0000	032.367	004.527
Low Viscosity	1	1	00:00:110	03.8235	02.4234	66.0000	032.367	004.527
Low Viscosity	1	1	00:00:117	03.8235	02.4234	66.0000	032.367	004.527
Low Viscosity	1	1	00:00:124	03.8215	02.2234	66.0000	030.191	004.421
Low Viscosity	1	1	00:00:130	03.8215	02.2234	66.0000	030.191	004.421
Low Viscosity	1	1	00:00:136	03.8215	02.2234	66.0000	030.191	004.421
Low Viscosity	1	1	00:00:142	03.8203	02.0234	66.0000	027.907	004.323
Low Viscosity	1	1	00:00:148	03.8203	02.0234	66.0000	027.907	004.323
Low Viscosity	1	1	00:00:154	03.8203	02.0234	66.0000	027.907	004.323
Low Viscosity	1	1	00:00:160	03.8195	01.8234	66.0000	025.519	004.232
Low Viscosity	1	1	00:00:165	03.8195	01.8234	66.0000	025.519	004.232
Low Viscosity	1	1	00:00:171	03.8195	01.8234	66.0000	025.519	004.232
Low Viscosity	1	1	00:00:177	03.8195	01.8234	66.0000	025.519	004.232
Low Viscosity	1	1	00:00:183	03.8191	01.6234	66.0000	023.029	004.150
Low Viscosity	1	1	00:00:189	03.8191	01.6234	66.0000	023.029	004.150
Low Viscosity	1	1	00:00:195	03.8191	01.6234	66.0000	023.029	004.150
Low Viscosity	1	1	00:00:201	03.8188	01.4234	66.0000	020.442	004.075
Low Viscosity	1	1	00:00:207	03.8188	01.4234	66.0000	020.442	004.075
Low Viscosity	1	1	00:00:212	03.8188	01.4234	66.0000	020.442	004.075
Low Viscosity	1	1	00:00:219	03.8186	01.2234	66.0000	017.764	004.010
Low Viscosity	1	1	00:00:241	03.8186	01.2234	66.0000	017.764	004.010
Low Viscosity	1	1	00:00:248	03.8185	01.0234	66.0000	015.003	003.953
Low Viscosity	1	1	00:00:253	03.8185	01.0234	66.0000	015.003	003.953
Low Viscosity	1	1	00:00:264	03.8184	00.8234	66.0000	012.168	003.906
Low Viscosity	1	1	00:00:272	03.8184	00.8234	66.0000	012.168	003.906
Low Viscosity	1	1	00:00:282	03.8183	00.6234	66.0000	009.272	003.869
Low Viscosity	1	1	00:00:291	03.8183	00.6234	66.0000	009.272	003.869
Low Viscosity	1	1	00:00:301	03.8183	00.6234	66.0000	009.272	003.869
Low Viscosity	1	1	00:00:311	03.8183	00.4234	66.0000	006.327	003.842
Low Viscosity	1	1	00:00:321	03.8183	00.4234	66.0000	006.327	003.842
Low Viscosity	1	1	00:00:332	03.8183	00.2234	66.0000	003.348	003.825
Low Viscosity	1	1	00:00:340	03.8183	00.0234	66.0000	000.350	003.818
Low Viscosity	1	1	00:00:347	03.8183	00.0234	66.0000	000.350	003.818
Low Viscosity	1	1	00:00:354	03.8183	00.0234	66.0000	000.350	003.818
Low Viscosity	1	1	00:00:361	03.8183	-00.1767	66.0000	-002.649	003.822
Low Viscosity	1	1	00:00:368	03.8183	-00.1767	66.0000	-002.649	003.822
Low Viscosity	1	1	00:00:375	03.8183	-00.1767	66.0000	-002.649	003.822
Low Viscosity	1	1	00:00:402	03.8183	-00.3767	66.0000	-005.634	003.837
Low Viscosity	1	1	00:00:411	03.8183	-00.5767	66.0000	-008.588	003.862
Low Viscosity	1	1	00:00:419	03.8183	-00.5767	66.0000	-008.588	003.862
Low Viscosity	1	1	00:00:429	03.8183	-00.7766	66.0000	-011.497	003.896
Low Viscosity	1	1	00:00:437	03.8183	-00.7766	66.0000	-011.497	003.896
Low Viscosity	1	1	00:00:446	03.8180	-00.9767	66.0000	-014.349	003.941
Low Viscosity	1	1	00:00:455	03.8180	-00.9767	66.0000	-014.349	003.941
Low Viscosity	1	1	00:00:467	03.8175	-01.1767	66.0000	-017.131	003.995
Low Viscosity	1	1	00:00:478	03.8175	-01.1767	66.0000	-017.131	003.995
Low Viscosity	1	1	00:00:496	03.8161	-01.3767	66.0000	-019.837	004.057
Low Viscosity	1	1	00:00:506	03.8359	-01.5767	66.0000	-022.344	004.147
Low Viscosity	1	1	00:00:512	03.8359	-01.5767	66.0000	-022.344	004.147
Low Viscosity	1	1	00:00:520	03.8832	-01.7767	66.0000	-024.585	004.270
Low Viscosity	1	1	00:00:527	03.8832	-01.7767	66.0000	-024.585	004.270
Low Viscosity	1	1	00:00:551	03.8832	-01.7767	66.0000	-024.585	004.270
Low Viscosity	1	1	00:00:558	04.1059	-01.9767	66.0000	-025.707	004.557
Low Viscosity	1	1	00:00:566	04.3087	-02.1767	66.0000	-026.802	004.827
Low Viscosity	1	1	00:00:573	04.3087	-02.1767	66.0000	-026.802	004.827
Low Viscosity	1	1	00:00:580	04.5575	-02.3767	66.0000	-027.541	005.140
Low Viscosity	1	1	00:00:587	04.5575	-02.3767	66.0000	-027.541	005.140
Low Viscosity	1	1	00:00:595	04.5575	-02.3767	66.0000	-027.541	005.140
Low Viscosity	1	1	00:00:603	04.8996	-02.5767	66.0000	-027.740	005.536
Low Viscosity	1	1	00:00:609	04.8996	-02.5767	66.0000	-027.740	005.536
Low Viscosity	1	1	00:00:616	04.8996	-02.5767	66.0000	-027.740	005.536
Low Viscosity	1	1	00:00:624	05.3218	-02.7767	66.0000	-027.553	006.003
Low Viscosity	1	1	00:00:634	05.3218	-02.7767	66.0000	-027.553	006.003
Low Viscosity	1	1	00:00:645	05.8166	-02.9767	66.0000	-027.101	006.534
Low Viscosity	1	1	00:00:655	05.8166	-02.9767	66.0000	-027.101	006.534
Low Viscosity	1	1	00:00:665	06.4257	-03.1767	66.0000	-026.306	007.168
Low Viscosity	1	1	00:00:672	06.4257	-03.1767	66.0000	-026.306	007.168
Low Viscosity	1	1	00:00:681	07.0765	-03.3767	66.0000	-025.509	007.841
Low Viscosity	1	1	00:00:708	07.0765	-03.3767	66.0000	-025.509	007.841
Low Viscosity	1	1	00:00:716	07.9100	-03.5767	66.0000	-024.331	008.681
Low Viscosity	1	1	00:00:726	08.5708	-03.7767	66.0000	-023.780	009.366
Low Viscosity	1	1	00:00:734	08.5708	-03.7767	66.0000	-023.780	009.366
Low Viscosity	1	1	00:00:744	09.1153	-03.9767	66.0000	-023.570	009.945
Low Viscosity	1	1	00:00:751	09.1153	-03.9767	66.0000	-023.570	009.945
Low Viscosity	1	1	00:00:760	09.1153	-03.9767	66.0000	-023.570	009.945
Low Viscosity	1	1	00:00:770	09.5349	-04.1767	66.0000	-023.655	010.410
Low Viscosity	1	1	00:00:780	09.5349	-04.1767	66.0000	-023.655	010.410
Low Viscosity	1	1	00:00:793	09.8428	-04.3767	66.0000	-023.973	010.772
Low Viscosity	1	1	00:00:806	10.0672	-04.5767	66.0000	-024.447	011.059
Low Viscosity	1	1	00:00:818	10.0672	-04.5767	66.0000	-024.447	011.059
Low Viscosity	1	1	00:00:831	10.1953	-04.7767	66.0000	-025.104	011.259
Low Viscosity	1	1	00:00:865	10.1953	-04.7767	66.0000	-025.104	011.259
Low Viscosity	1	1	00:00:873	09.9987	-05.1767	66.0000	-027.372	011.259
Low Viscosity	1	1	00:00:881	09.8893	-05.3767	66.0000	-028.532	011.256
Low Viscosity	1	1	00:00:888	09.8893	-05.3767	66.0000	-028.532	011.256
Low Viscosity	1	1	00:00:895	09.8893	-05.3767	66.0000	-028.532	011.256
Low Viscosity	1	1	00:00:903	09.6955	-05.5767	66.0000	-029.907	011.185
Low Viscosity	1	1	00:00:911	09.6955	-05.5767	66.0000	-029.907	011.185
Low Viscosity	1	1	00:00:919	09.6955	-05.5767	66.0000	-029.907	011.185
Low Viscosity	1	1	00:00:926	09.4315	-05.7767	66.0000	-031.487	011.060
Low Viscosity	1	1	00:00:933	09.4315	-05.7767	66.0000	-031.487	011.060
Low Viscosity	1	1	00:00:941	09.1483	-05.9767	66.0000	-033.157	010.928
Low Viscosity	1	1	00:00:948	09.1483	-05.9767	66.0000	-033.157	010.928
Low Viscosity	1	1	00:00:955	09.1483	-05.9767	66.0000	-033.157	010.928
Low Viscosity	1	1	00:00:966	08.7996	-06.1767	66.0000	-035.066	010.751
Low Viscosity	1	1	00:00:976	08.7996	-06.1767	66.0000	-035.066	010.751
Low Viscosity	1	1	00:00:987	08.3753	-06.3767	66.0000	-037.284	010.527
Low Viscosity	1	1	00:01:012	08.3753	-06.3767	66.0000	-037.284	010.527
Low Viscosity	1	1	00:01:022	07.7504	-06.5767	66.0000	-040.316	010.165
Low Viscosity	1	1	00:01:031	07.1772	-06.7767	66.0000	-043.356	009.871
Low Viscosity	1	1	00:01:038	07.1772	-06.7767	66.0000	-043.356	009.871
Low Viscosity	1	1	00:01:046	06.6111	-06.9767	66.0000	-046.541	009.611
Low Viscosity	1	1	00:01:053	06.6111	-06.9767	66.0000	-046.541	009.611
Low Viscosity	1	1	00:01:061	06.0808	-07.1767	66.0000	-049.726	009.406
Low Viscosity	1	1	00:01:068	06.0808	-07.1767	66.0000	-049.726	009.406
Low Viscosity	1	1	00:01:075	06.0808	-07.1767	66.0000	-049.726	009.406
Low Viscosity	1	1	00:01:083	05.5518	-07.3767	66.0000	-053.034	009.232
Low Viscosity	1	1	00:01:090	05.5518	-07.3767	66.0000	-053.034	009.232
Low Viscosity	1	1	00:01:097	05.5518	-07.3767	66.0000	-053.034	009.232
Low Viscosity	1	1	00:01:108	05.0419	-07.5767	66.0000	-056.358	009.101
Low Viscosity	1	1	00:01:121	05.0419	-07.5767	66.0000	-056.358	009.101
Low Viscosity	1	1	00:01:131	04.5676	-07.7767	66.0000	-059.573	009.019
Low Viscosity	1	1	00:01:139	04.5676	-07.7767	66.0000	-059.573	009.019
Low Viscosity	1	1	00:01:170	04.1569	-07.9767	66.0000	-062.474	008.995
Low Viscosity	1	1	00:01:180	03.8095	-08.1767	66.0000	-065.019	009.021
Low Viscosity	1	1	00:01:189	03.5288	-08.3767	66.0000	-067.156	009.090
Low Viscosity	1	1	00:01:198	03.5288	-08.3767	66.0000	-067.156	009.090
Low Viscosity	1	1	00:01:208	03.3049	-08.5767	66.0000	-068.927	009.191
Low Viscosity	1	1	00:01:216	03.3049	-08.5767	66.0000	-068.927	009.191
Low Viscosity	1	1	00:01:226	03.1237	-08.7767	66.0000	-070.409	009.316
Low Viscosity	1	1	00:01:234	03.1237	-08.7767	66.0000	-070.409	009.316
Low Viscosity	1	1	00:01:246	02.9773	-08.9767	66.0000	-071.651	009.458
Low Viscosity	1	1	00:01:255	02.9773	-08.9767	66.0000	-071.651	009.458
Low Viscosity	1	1	00:01:266	02.8595	-09.1767	66.0000	-072.693	009.612
Low Viscosity	1	1	00:01:276	02.8595	-09.1767	66.0000	-072.693	009.612
Low Viscosity	1	1	00:01:284	02.7645	-09.3767	66.0000	-073.573	009.776
Low Viscosity	1	1	00:01:291	02.7645	-09.3767	66.0000	-073.573	009.776
Low Viscosity	1	1	00:01:317	02.7645	-09.3767	66.0000	-073.573	009.776
Low Viscosity	1	1	00:01:325	02.3629	09.2029	66.0000	075.600	009.501
Low Viscosity	1	1	00:01:332	02.3629	09.2029	66.0000	075.600	009.501
Low Viscosity	1	1	00:01:340	02.3630	09.1587	66.0000	075.533	009.459
