1st_ff f_2024-12-02_raw
 
ForceDisplay	Rep	Set	timer	X	Y	Z	A	M
Low Viscosity	1	1	00:00:004	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:014	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:018	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:022	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:026	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:029	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:033	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:036	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:040	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:045	02.0000	06.3153	66.0000	072.427	006.624
Low Viscosity	1	1	00:00:061	02.0000	06.3153	66.0000	072.427	006.624
Low Viscosity	1	1	00:00:066	02.0000	06.5153	66.0000	072.935	006.815
Low Viscosity	1	1	00:00:072	02.0000	06.5153	66.0000	072.935	006.815
Low Viscosity	1	1	00:00:078	02.0000	06.5153	66.0000	072.935	006.815
Low Viscosity	1	1	00:00:086	02.0000	06.7153	66.0000	073.415	007.007
Low Viscosity	1	1	00:00:092	02.0000	06.7153	66.0000	073.415	007.007
Low Viscosity	1	1	00:00:097	02.0000	06.7153	66.0000	073.415	007.007
Low Viscosity	1	1	00:00:104	02.0000	06.9153	66.0000	073.869	007.199
Low Viscosity	1	1	00:00:110	02.0000	06.9153	66.0000	073.869	007.199
Low Viscosity	1	1	00:00:115	02.0000	06.9153	66.0000	073.869	007.199
Low Viscosity	1	1	00:00:121	02.0000	06.9153	66.0000	073.869	007.199
Low Viscosity	1	1	00:00:128	02.0000	07.1153	66.0000	074.300	007.391
Low Viscosity	1	1	00:00:135	02.0000	07.1153	66.0000	074.300	007.391
Low Viscosity	1	1	00:00:142	02.0000	07.1153	66.0000	074.300	007.391
Low Viscosity	1	1	00:00:151	02.0000	07.3153	66.0000	074.709	007.584
Low Viscosity	1	1	00:00:159	02.0000	07.3153	66.0000	074.709	007.584
Low Viscosity	1	1	00:00:169	02.0000	07.5153	66.0000	075.098	007.777
Low Viscosity	1	1	00:00:176	02.0000	07.5153	66.0000	075.098	007.777
Low Viscosity	1	1	00:00:184	02.0000	07.5153	66.0000	075.098	007.777
Low Viscosity	1	1	00:00:191	02.0000	07.7153	66.0000	075.467	007.970
Low Viscosity	1	1	00:00:198	02.0000	07.7153	66.0000	075.467	007.970
Low Viscosity	1	1	00:00:205	02.0000	07.9153	66.0000	075.820	008.164
Low Viscosity	1	1	00:00:211	02.0000	07.9153	66.0000	075.820	008.164
Low Viscosity	1	1	00:00:218	02.0000	07.9153	66.0000	075.820	008.164
Low Viscosity	1	1	00:00:225	02.0000	08.1153	66.0000	076.155	008.358
Low Viscosity	1	1	00:00:231	02.0000	08.1153	66.0000	076.155	008.358
Low Viscosity	1	1	00:00:238	02.0000	08.1153	66.0000	076.155	008.358
Low Viscosity	1	1	00:00:247	02.0000	08.3153	66.0000	076.476	008.552
Low Viscosity	1	1	00:00:255	02.0000	08.3153	66.0000	076.476	008.552
Low Viscosity	1	1	00:00:262	02.0000	08.3153	66.0000	076.476	008.552
Low Viscosity	1	1	00:00:270	02.0000	08.5153	66.0000	076.782	008.747
Low Viscosity	1	1	00:00:276	02.0000	08.5153	66.0000	076.782	008.747
Low Viscosity	1	1	00:00:282	02.0000	08.5153	66.0000	076.782	008.747
Low Viscosity	1	1	00:00:289	02.0000	08.7153	66.0000	077.075	008.942
Low Viscosity	1	1	00:00:295	02.0000	08.7153	66.0000	077.075	008.942
Low Viscosity	1	1	00:00:301	02.0000	08.7153	66.0000	077.075	008.942
Low Viscosity	1	1	00:00:309	02.0000	08.9153	66.0000	077.356	009.137
Low Viscosity	1	1	00:00:315	02.0000	08.9153	66.0000	077.356	009.137
Low Viscosity	1	1	00:00:321	02.0000	08.9153	66.0000	077.356	009.137
Low Viscosity	1	1	00:00:328	02.0000	09.1153	66.0000	077.625	009.332
Low Viscosity	1	1	00:00:335	02.0000	09.1153	66.0000	077.625	009.332
Low Viscosity	1	1	00:00:342	02.0000	09.1153	66.0000	077.625	009.332
Low Viscosity	1	1	00:00:351	02.0000	09.3153	66.0000	077.882	009.528
Low Viscosity	1	1	00:00:357	02.0000	09.3153	66.0000	077.882	009.528
Low Viscosity	1	1	00:00:364	02.0000	09.5153	66.0000	078.130	009.723
Low Viscosity	1	1	00:00:370	02.0000	09.5153	66.0000	078.130	009.723
Low Viscosity	1	1	00:00:377	02.0000	09.5153	66.0000	078.130	009.723
Low Viscosity	1	1	00:00:384	02.0000	09.7153	66.0000	078.367	009.919
Low Viscosity	1	1	00:00:391	02.0000	09.7153	66.0000	078.367	009.919
Low Viscosity	1	1	00:00:399	02.0000	09.7153	66.0000	078.367	009.919
Low Viscosity	1	1	00:00:408	02.0000	09.9153	66.0000	078.596	010.115
Low Viscosity	1	1	00:00:415	02.0000	09.9153	66.0000	078.596	010.115
Low Viscosity	1	1	00:00:422	02.0000	09.9153	66.0000	078.596	010.115
Low Viscosity	1	1	00:00:429	02.0000	10.1153	66.0000	078.816	010.311
Low Viscosity	1	1	00:00:435	02.0000	10.1153	66.0000	078.816	010.311
Low Viscosity	1	1	00:00:442	02.0000	10.1153	66.0000	078.816	010.311
Low Viscosity	1	1	00:00:450	02.0000	10.3153	66.0000	079.027	010.507
Low Viscosity	1	1	00:00:458	02.0000	10.3153	66.0000	079.027	010.507
Low Viscosity	1	1	00:00:466	02.0000	10.5153	66.0000	079.231	010.704
Low Viscosity	1	1	00:00:472	02.0000	10.5153	66.0000	079.231	010.704
Low Viscosity	1	1	00:00:480	02.0000	10.5153	66.0000	079.231	010.704
Low Viscosity	1	1	00:00:492	02.0000	10.7153	66.0000	079.427	010.900
Low Viscosity	1	1	00:00:501	02.0000	10.7153	66.0000	079.427	010.900
Low Viscosity	1	1	00:00:512	02.0000	10.9153	66.0000	079.617	011.097
Low Viscosity	1	1	00:00:520	02.0000	10.9153	66.0000	079.617	011.097
Low Viscosity	1	1	00:00:528	02.0000	11.1152	66.0000	079.800	011.294
Low Viscosity	1	1	00:00:535	02.0000	11.1152	66.0000	079.800	011.294
Low Viscosity	1	1	00:00:542	02.0000	11.1152	66.0000	079.800	011.294
Low Viscosity	1	1	00:00:549	02.0000	11.3152	66.0000	079.976	011.491
Low Viscosity	1	1	00:00:555	02.0000	11.3152	66.0000	079.976	011.491
Low Viscosity	1	1	00:00:562	02.0000	11.3152	66.0000	079.976	011.491
Low Viscosity	1	1	00:00:568	02.0000	11.5152	66.0000	080.147	011.688
Low Viscosity	1	1	00:00:575	02.0000	11.5152	66.0000	080.147	011.688
Low Viscosity	1	1	00:00:581	02.0000	11.5152	66.0000	080.147	011.688
Low Viscosity	1	1	00:00:588	02.0000	11.7152	66.0000	080.312	011.885
Low Viscosity	1	1	00:00:596	02.0000	11.7152	66.0000	080.312	011.885
Low Viscosity	1	1	00:00:604	02.0000	11.7152	66.0000	080.312	011.885
Low Viscosity	1	1	00:00:613	02.0000	11.9152	66.0000	080.472	012.082
Low Viscosity	1	1	00:00:619	02.0000	11.9152	66.0000	080.472	012.082
Low Viscosity	1	1	00:00:626	02.0000	12.1152	66.0000	080.626	012.279
Low Viscosity	1	1	00:00:632	02.0000	12.1152	66.0000	080.626	012.279
Low Viscosity	1	1	00:00:639	02.0000	12.1152	66.0000	080.626	012.279
Low Viscosity	1	1	00:00:646	02.0000	12.3152	66.0000	080.776	012.477
Low Viscosity	1	1	00:00:653	02.0000	12.3152	66.0000	080.776	012.477
Low Viscosity	1	1	00:00:660	02.0000	12.3152	66.0000	080.776	012.477
Low Viscosity	1	1	00:00:667	02.0000	12.5152	66.0000	080.921	012.674
Low Viscosity	1	1	00:00:673	02.0000	12.5152	66.0000	080.921	012.674
Low Viscosity	1	1	00:00:680	02.0000	12.5152	66.0000	080.921	012.674
Low Viscosity	1	1	00:00:687	02.0000	12.7152	66.0000	081.061	012.872
Low Viscosity	1	1	00:00:694	02.0000	12.7152	66.0000	081.061	012.872
Low Viscosity	1	1	00:00:700	02.0000	12.7152	66.0000	081.061	012.872
Low Viscosity	1	1	00:00:708	02.0000	12.9152	66.0000	081.197	013.069
Low Viscosity	1	1	00:00:714	02.0000	12.9152	66.0000	081.197	013.069
Low Viscosity	1	1	00:00:721	02.0000	12.9152	66.0000	081.197	013.069
Low Viscosity	1	1	00:00:728	02.0000	13.1152	66.0000	081.330	013.267
Low Viscosity	1	1	00:00:735	02.0000	13.1152	66.0000	081.330	013.267
Low Viscosity	1	1	00:00:742	02.0000	13.1152	66.0000	081.330	013.267
Low Viscosity	1	1	00:00:752	02.0000	13.3152	66.0000	081.458	013.465
Low Viscosity	1	1	00:00:760	02.0000	13.3152	66.0000	081.458	013.465
Low Viscosity	1	1	00:00:770	02.0000	13.5152	66.0000	081.582	013.662
Low Viscosity	1	1	00:00:777	02.0000	13.5152	66.0000	081.582	013.662
Low Viscosity	1	1	00:00:785	02.0000	13.7152	66.0000	081.703	013.860
Low Viscosity	1	1	00:00:792	02.0000	13.7152	66.0000	081.703	013.860
Low Viscosity	1	1	00:00:799	02.0000	13.7152	66.0000	081.703	013.860
Low Viscosity	1	1	00:00:808	02.0000	13.9152	66.0000	081.821	014.058
Low Viscosity	1	1	00:00:817	02.0000	13.9152	66.0000	081.821	014.058
Low Viscosity	1	1	00:00:825	02.0000	14.1152	66.0000	081.935	014.256
Low Viscosity	1	1	00:00:833	02.0000	14.1152	66.0000	081.935	014.256
Low Viscosity	1	1	00:00:841	02.0000	14.1152	66.0000	081.935	014.256
Low Viscosity	1	1	00:00:850	02.0000	14.3152	66.0000	082.047	014.454
Low Viscosity	1	1	00:00:860	02.0000	14.3152	66.0000	082.047	014.454
Low Viscosity	1	1	00:00:871	02.0000	14.5152	66.0000	082.155	014.652
Low Viscosity	1	1	00:00:881	02.0000	14.5152	66.0000	082.155	014.652
Low Viscosity	1	1	00:00:890	02.0000	14.7152	66.0000	082.260	014.851
Low Viscosity	1	1	00:00:899	02.0000	14.7152	66.0000	082.260	014.851
Low Viscosity	1	1	00:00:906	02.0000	14.9152	66.0000	082.363	015.049
