1st_t t_2024-12-02_raw
 
ForceDisplay	Rep	Set	timer	X	Y	Z	A	M
Low Viscosity	1	1	00:00:005	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:013	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:018	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:021	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:025	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:028	02.0000	06.1153	66.0000	071.890	006.434
Low Viscosity	1	1	00:00:032	02.0000	06.3153	66.0000	072.427	006.624
Low Viscosity	1	1	00:00:036	02.0000	06.3153	66.0000	072.427	006.624
Low Viscosity	1	1	00:00:039	02.0000	06.3153	66.0000	072.427	006.624
Low Viscosity	1	1	00:00:043	02.0000	06.3153	66.0000	072.427	006.624
Low Viscosity	1	1	00:00:047	02.0000	06.3153	66.0000	072.427	006.624
Low Viscosity	1	1	00:00:050	02.0000	06.3153	66.0000	072.427	006.624
Low Viscosity	1	1	00:00:054	02.0000	06.5153	66.0000	072.935	006.815
Low Viscosity	1	1	00:00:058	02.0000	06.5153	66.0000	072.935	006.815
Low Viscosity	1	1	00:00:062	02.0000	06.5153	66.0000	072.935	006.815
Low Viscosity	1	1	00:00:065	02.0000	06.5153	66.0000	072.935	006.815
Low Viscosity	1	1	00:00:069	02.0000	06.5153	66.0000	072.935	006.815
Low Viscosity	1	1	00:00:073	02.0000	06.7153	66.0000	073.415	007.007
Low Viscosity	1	1	00:00:076	02.0000	06.7153	66.0000	073.415	007.007
Low Viscosity	1	1	00:00:080	02.0000	06.7153	66.0000	073.415	007.007
Low Viscosity	1	1	00:00:083	02.0000	06.7153	66.0000	073.415	007.007
Low Viscosity	1	1	00:00:087	02.0000	06.7153	66.0000	073.415	007.007
Low Viscosity	1	1	00:00:091	02.0000	06.9153	66.0000	073.869	007.199
Low Viscosity	1	1	00:00:095	02.0000	06.9153	66.0000	073.869	007.199
Low Viscosity	1	1	00:00:098	02.0000	06.9153	66.0000	073.869	007.199
Low Viscosity	1	1	00:00:102	02.0000	06.9153	66.0000	073.869	007.199
Low Viscosity	1	1	00:00:106	02.0000	06.9153	66.0000	073.869	007.199
